variant,bucket,n,stale_n,stale_rate,has_jd_rate,scored_rate,live_rate,expired_rate,inconclusive_rate,null_rate
primary,ALL,23974,2699,0.11258029531992993,0.9822307499791441,0.7505631100358722,0.4231667639943272,0.24288812880620672,0.2571535830483023,0.07679152415116376
primary,aggregator_only,6950,2398,0.3450359712230216,0.9869064748201439,0.6502158273381295,0.17942446043165466,0.1046043165467626,0.6444604316546763,0.07151079136690648
primary,ats_confirmed,10294,15,0.0014571595103944044,0.9842626772877404,0.8954730911210413,0.5460462405284632,0.4232562657858947,0.007965805323489412,0.02273168836215271
primary,direct_crawl,1593,15,0.009416195856873822,0.9642184557438794,0.7137476459510358,0.4689265536723164,0.12994350282485875,0.0973006905210295,0.30382925298179536
primary,email_alert_only,5137,271,0.0527545259879307,0.9774187268833949,0.6073583803776523,0.4925053533190578,0.10356239050029199,0.28207124781000587,0.12186100837064434
exclude_portal_jooble,ALL,21267,909,0.04274227676682184,0.9802510932430526,0.7534678139841068,0.4761837588752527,0.27281704048525884,0.16692528330276954,0.08407391733671886
exclude_portal_jooble,aggregator_only,4191,594,0.14173228346456693,0.9799570508231925,0.5977093772369363,0.2884753042233357,0.16821760916249104,0.43832020997375326,0.10498687664041995
exclude_portal_jooble,ats_confirmed,10294,15,0.0014571595103944044,0.9842626772877404,0.8954730911210413,0.5460462405284632,0.4232562657858947,0.007965805323489412,0.02273168836215271
exclude_portal_jooble,direct_crawl,1593,15,0.009416195856873822,0.9642184557438794,0.7137476459510358,0.4689265536723164,0.12994350282485875,0.0973006905210295,0.30382925298179536
exclude_portal_jooble,email_alert_only,5189,285,0.05492387743303141,0.977452302948545,0.6097513971863557,0.4914241665060705,0.10271728656773944,0.2844478704952785,0.12141067643091154
effective_stale_definition,ALL,23974,8522,0.35546842412613666,0.9822307499791441,0.7505631100358722,0.4231667639943272,0.24288812880620672,0.2571535830483023,0.07679152415116376
effective_stale_definition,aggregator_only,6950,3125,0.44964028776978415,0.9869064748201439,0.6502158273381295,0.17942446043165466,0.1046043165467626,0.6444604316546763,0.07151079136690648
effective_stale_definition,ats_confirmed,10294,4372,0.4247134252962891,0.9842626772877404,0.8954730911210413,0.5460462405284632,0.4232562657858947,0.007965805323489412,0.02273168836215271
effective_stale_definition,direct_crawl,1593,222,0.1393596986817326,0.9642184557438794,0.7137476459510358,0.4689265536723164,0.12994350282485875,0.0973006905210295,0.30382925298179536
effective_stale_definition,email_alert_only,5137,803,0.15631691648822268,0.9774187268833949,0.6073583803776523,0.4925053533190578,0.10356239050029199,0.28207124781000587,0.12186100837064434
