variant,platform,n,events,median_days,s7,s14,s30,s60
primary,ALL,12353,4995,61.74873325337963,0.8953472121622214,0.8415594612227222,0.7197457226833262,0.505963805786154
primary,amazon,338,96,124.96934462697915,0.978400573323934,0.9558434588657208,0.9075459349625902,0.7828812084520865
primary,ashby,843,325,91.60306811125001,0.8807522452043074,0.8558906114787704,0.7826556693169436,0.6338236129026407
primary,greenhouse,3172,1386,74.1690522892824,0.8825282576680371,0.8345352238200049,0.7350087773592533,0.5620777766339095
primary,lever,382,146,97.22018837181713,0.930396597291699,0.8553987478781484,0.7870622332399734,0.6072158265108577
primary,phenom,912,216,99.57206905532408,0.8660004861803315,0.7603724896821513,0.7445276663631213,0.6746603599375097
primary,smartrecruiters,967,480,48.57178394212963,0.786080309646307,0.7144693263543772,0.600420588877218,0.47290816940300673
primary,workday,5203,2289,44.69954246792824,0.9160106734529685,0.8623484850864483,0.683915855183155,0.352419187475293
inconclusive_as_censored,ALL,13887,4995,67.04308864436344,0.9046338830944042,0.8532502228919201,0.7352168352466351,0.5270551592616207
inconclusive_as_censored,amazon,343,96,124.96934462697915,0.9787094511262381,0.956438707053379,0.9088001200318372,0.785717533190818
inconclusive_as_censored,ashby,992,325,92.37925079028935,0.8966544343199482,0.8729545461831315,0.801958313716974,0.6554071332262374
inconclusive_as_censored,greenhouse,3654,1386,79.32149191439815,0.8958855665953019,0.8504920854523855,0.7549034035717961,0.5874463259850989
inconclusive_as_censored,lever,440,146,99.67391498939816,0.9375187610365203,0.8669954911667614,0.8022321710155661,0.6257606308597928
inconclusive_as_censored,oracle_cloud,238,15,inf,0.9586773205570128,0.9383543546132221,0.9321809707012929,0.9188640996912744
inconclusive_as_censored,phenom,1114,216,105.96709723327547,0.8844979234889417,0.7896241312160545,0.7751681913124507,0.7083009713836835
inconclusive_as_censored,smartrecruiters,1041,480,54.20824794062499,0.7992359839452171,0.7292365894591714,0.6170388984397434,0.4911057953465057
inconclusive_as_censored,workday,5492,2289,45.53510198056713,0.9193308242950653,0.8668513686280382,0.6911560386809438,0.36565525829760614
